epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,816.717,0.61108,1.57289,1.0132,0.80677,0.88923,0.9161,0.74056,0.64068,1.54839,1.02003,0.000551457,0.000551457,0.000551457
2,1605.75,0.59089,0.97525,0.99379,0.28604,0.2494,0.18772,0.09294,1.57847,2.80954,1.7183,0.00106328,0.00106328,0.00106328
3,2399.27,0.61665,0.82677,0.9946,0.92456,0.87369,0.94721,0.78872,0.59548,0.79115,0.98528,0.0015311,0.0015311,0.0015311
4,3364.14,0.59186,0.71355,0.97837,0.6717,0.54656,0.51139,0.37828,1.18721,2.62998,1.55204,0.00146896,0.00146896,0.00146896
5,4161.43,0.52908,0.59849,0.95743,0.97722,0.94717,0.96725,0.8536,0.50545,0.47922,0.91903,0.00140295,0.00140295,0.00140295
6,4968.38,0.52183,0.56321,0.95497,0.96891,0.94401,0.96663,0.80039,0.62735,0.49214,0.9997,0.00133693,0.00133693,0.00133693
7,5920.46,0.49918,0.53736,0.9458,0.91584,0.89567,0.94898,0.79422,0.54869,0.46683,0.95367,0.00127092,0.00127092,0.00127092
8,6930.48,0.473,0.52036,0.93566,0.66605,0.70988,0.76741,0.59658,0.71544,1.26098,1.12918,0.00120491,0.00120491,0.00120491
9,7895.51,0.46754,0.50257,0.9341,0.92821,0.95086,0.95928,0.85812,0.47194,0.40547,0.90071,0.00113889,0.00113889,0.00113889
10,8694.89,0.43324,0.46376,0.91989,0.98816,0.94401,0.96314,0.87165,0.43601,0.36867,0.87517,0.00107288,0.00107288,0.00107288
11,9494.69,0.42373,0.4497,0.92496,0.99186,0.97019,0.97276,0.90206,0.37208,0.30437,0.82019,0.00100687,0.00100687,0.00100687
12,10292.3,0.4125,0.43266,0.9181,0.97914,0.94803,0.96802,0.90665,0.36342,0.3019,0.82174,0.000940855,0.000940855,0.000940855
13,11126.3,0.39979,0.43257,0.90679,0.97208,0.95883,0.96856,0.89743,0.37991,0.33543,0.86826,0.000874842,0.000874842,0.000874842
14,12111,0.40384,0.43461,0.90805,0.94156,0.89448,0.95169,0.73775,0.70221,0.47996,1.24972,0.000808828,0.000808828,0.000808828
15,12917.2,0.38209,0.42543,0.90625,0.98989,0.97141,0.96979,0.91854,0.32659,0.2445,0.80357,0.000742815,0.000742815,0.000742815
16,13716.6,0.30428,0.3772,0.86773,0.99119,0.93528,0.96963,0.88321,0.38332,0.32222,0.84923,0.000676802,0.000676802,0.000676802
17,14569.9,0.29341,0.35587,0.85479,0.96945,0.94401,0.96061,0.89823,0.36573,0.33246,0.83144,0.000610789,0.000610789,0.000610789
18,15543.4,0.28724,0.349,0.85169,0.99851,0.94726,0.96756,0.92306,0.32188,0.26513,0.78996,0.000544776,0.000544776,0.000544776
19,16439,0.27041,0.33401,0.85536,0.97642,0.9683,0.96919,0.9118,0.32581,0.27199,0.7973,0.000478762,0.000478762,0.000478762
20,17362.6,0.25507,0.31099,0.83668,1,0.94307,0.9685,0.92213,0.3018,0.26465,0.78626,0.000412749,0.000412749,0.000412749
21,18337.2,0.24281,0.29809,0.83649,0.99457,0.94277,0.96917,0.93526,0.27534,0.24453,0.76644,0.000346736,0.000346736,0.000346736
22,19190.6,0.23135,0.2841,0.82812,0.99047,0.95673,0.97,0.93366,0.2617,0.23888,0.76646,0.000280723,0.000280723,0.000280723
23,19997.2,0.21975,0.27426,0.82308,0.99878,0.95361,0.96959,0.93358,0.26004,0.21974,0.77167,0.00021471,0.00021471,0.00021471
24,20825.6,0.20718,0.25598,0.81815,0.99776,0.94772,0.96972,0.93318,0.25002,0.23784,0.75991,0.000148696,0.000148696,0.000148696
25,21824.2,0.20027,0.24921,0.81591,0.98273,0.96456,0.96932,0.93431,0.24842,0.22168,0.75981,8.26832e-05,8.26832e-05,8.26832e-05
